Part Number;Series;Model;Category;Photo;Resistance;Tolerance;Temperature Coefficient;Power (Watts);Profile/Package Style;MDS;Design Files;Engineering;Buy Now;Datasheet Link;Product Link
CAT10A-104J2LF;CAT10A;Thick Film - AEC-Q200;Fixed Resistors - Chip Arrays;https://www.bourns.com/images/products/resistive-products/cat10_part.jpg?sfvrsn=478e48f6_2;100000.0 Ohms;±5 %;±300 ppm/°C;0.063 W;10000 pcs. per reel;https://www.bourns.com/docs/product-mds/cat10a-j2lf_mds.pdf?sfvrsn=378f48f6_4 https://www.bourns.com/docs/product-mds/cat10a-j4lf_mds.pdf?sfvrsn=5f8f48f6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CAT10A-LF;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CAT10A&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CAT10A;https://www.bourns.com/docs/product-datasheets/cat10a-lf.pdf?sfvrsn=e18c48f6_5;
CAT10A-104J4LF;CAT10A;Thick Film - AEC-Q200;Fixed Resistors - Chip Arrays;https://www.bourns.com/images/products/resistive-products/cat10_part.jpg?sfvrsn=478e48f6_2;100000.0 Ohms;±5 %;±300 ppm/°C;0.063 W;10000 pcs. per reel;https://www.bourns.com/docs/product-mds/cat10a-j2lf_mds.pdf?sfvrsn=378f48f6_4 https://www.bourns.com/docs/product-mds/cat10a-j4lf_mds.pdf?sfvrsn=5f8f48f6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CAT10A-LF;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CAT10A&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CAT10A;https://www.bourns.com/docs/product-datasheets/cat10a-lf.pdf?sfvrsn=e18c48f6_5;
CAT10A-105J2LF;CAT10A;Thick Film - AEC-Q200;Fixed Resistors - Chip Arrays;https://www.bourns.com/images/products/resistive-products/cat10_part.jpg?sfvrsn=478e48f6_2;1000000.0 Ohms;±5 %;±300 ppm/°C;0.063 W;10000 pcs. per reel;https://www.bourns.com/docs/product-mds/cat10a-j2lf_mds.pdf?sfvrsn=378f48f6_4 https://www.bourns.com/docs/product-mds/cat10a-j4lf_mds.pdf?sfvrsn=5f8f48f6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CAT10A-LF;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CAT10A&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CAT10A;https://www.bourns.com/docs/product-datasheets/cat10a-lf.pdf?sfvrsn=e18c48f6_5;
CAT10A-105J4LF;CAT10A;Thick Film - AEC-Q200;Fixed Resistors - Chip Arrays;https://www.bourns.com/images/products/resistive-products/cat10_part.jpg?sfvrsn=478e48f6_2;1000000.0 Ohms;±5 %;±300 ppm/°C;0.063 W;10000 pcs. per reel;https://www.bourns.com/docs/product-mds/cat10a-j2lf_mds.pdf?sfvrsn=378f48f6_4 https://www.bourns.com/docs/product-mds/cat10a-j4lf_mds.pdf?sfvrsn=5f8f48f6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CAT10A-LF;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CAT10A&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CAT10A;https://www.bourns.com/docs/product-datasheets/cat10a-lf.pdf?sfvrsn=e18c48f6_5;
CAT10A-110J2LF;CAT10A;Thick Film - AEC-Q200;Fixed Resistors - Chip Arrays;https://www.bourns.com/images/products/resistive-products/cat10_part.jpg?sfvrsn=478e48f6_2;11.0 Ohms;±5 %;±300 ppm/°C;0.063 W;10000 pcs. per reel;https://www.bourns.com/docs/product-mds/cat10a-j2lf_mds.pdf?sfvrsn=378f48f6_4 https://www.bourns.com/docs/product-mds/cat10a-j4lf_mds.pdf?sfvrsn=5f8f48f6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CAT10A-LF;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CAT10A&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CAT10A;https://www.bourns.com/docs/product-datasheets/cat10a-lf.pdf?sfvrsn=e18c48f6_5;
CAT10A-110J4LF;CAT10A;Thick Film - AEC-Q200;Fixed Resistors - Chip Arrays;https://www.bourns.com/images/products/resistive-products/cat10_part.jpg?sfvrsn=478e48f6_2;11.0 Ohms;±5 %;±300 ppm/°C;0.063 W;10000 pcs. per reel;https://www.bourns.com/docs/product-mds/cat10a-j2lf_mds.pdf?sfvrsn=378f48f6_4 https://www.bourns.com/docs/product-mds/cat10a-j4lf_mds.pdf?sfvrsn=5f8f48f6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CAT10A-LF;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CAT10A&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CAT10A;https://www.bourns.com/docs/product-datasheets/cat10a-lf.pdf?sfvrsn=e18c48f6_5;
CAT10A-111J2LF;CAT10A;Thick Film - AEC-Q200;Fixed Resistors - Chip Arrays;https://www.bourns.com/images/products/resistive-products/cat10_part.jpg?sfvrsn=478e48f6_2;110.0 Ohms;±5 %;±300 ppm/°C;0.063 W;10000 pcs. per reel;https://www.bourns.com/docs/product-mds/cat10a-j2lf_mds.pdf?sfvrsn=378f48f6_4 https://www.bourns.com/docs/product-mds/cat10a-j4lf_mds.pdf?sfvrsn=5f8f48f6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CAT10A-LF;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CAT10A&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CAT10A;https://www.bourns.com/docs/product-datasheets/cat10a-lf.pdf?sfvrsn=e18c48f6_5;
CAT10A-111J4LF;CAT10A;Thick Film - AEC-Q200;Fixed Resistors - Chip Arrays;https://www.bourns.com/images/products/resistive-products/cat10_part.jpg?sfvrsn=478e48f6_2;110.0 Ohms;±5 %;±300 ppm/°C;0.063 W;10000 pcs. per reel;https://www.bourns.com/docs/product-mds/cat10a-j2lf_mds.pdf?sfvrsn=378f48f6_4 https://www.bourns.com/docs/product-mds/cat10a-j4lf_mds.pdf?sfvrsn=5f8f48f6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CAT10A-LF;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CAT10A&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CAT10A;https://www.bourns.com/docs/product-datasheets/cat10a-lf.pdf?sfvrsn=e18c48f6_5;
CAT10A-112J2LF;CAT10A;Thick Film - AEC-Q200;Fixed Resistors - Chip Arrays;https://www.bourns.com/images/products/resistive-products/cat10_part.jpg?sfvrsn=478e48f6_2;1100.0 Ohms;±5 %;±300 ppm/°C;0.063 W;10000 pcs. per reel;https://www.bourns.com/docs/product-mds/cat10a-j2lf_mds.pdf?sfvrsn=378f48f6_4 https://www.bourns.com/docs/product-mds/cat10a-j4lf_mds.pdf?sfvrsn=5f8f48f6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CAT10A-LF;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CAT10A&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CAT10A;https://www.bourns.com/docs/product-datasheets/cat10a-lf.pdf?sfvrsn=e18c48f6_5;
CAT10A-112J4LF;CAT10A;Thick Film - AEC-Q200;Fixed Resistors - Chip Arrays;https://www.bourns.com/images/products/resistive-products/cat10_part.jpg?sfvrsn=478e48f6_2;1100.0 Ohms;±5 %;±300 ppm/°C;0.063 W;10000 pcs. per reel;https://www.bourns.com/docs/product-mds/cat10a-j2lf_mds.pdf?sfvrsn=378f48f6_4 https://www.bourns.com/docs/product-mds/cat10a-j4lf_mds.pdf?sfvrsn=5f8f48f6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CAT10A-LF;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CAT10A&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CAT10A;https://www.bourns.com/docs/product-datasheets/cat10a-lf.pdf?sfvrsn=e18c48f6_5;
CAT10A-113J2LF;CAT10A;Thick Film - AEC-Q200;Fixed Resistors - Chip Arrays;https://www.bourns.com/images/products/resistive-products/cat10_part.jpg?sfvrsn=478e48f6_2;11000.0 Ohms;±5 %;±300 ppm/°C;0.063 W;10000 pcs. per reel;https://www.bourns.com/docs/product-mds/cat10a-j2lf_mds.pdf?sfvrsn=378f48f6_4 https://www.bourns.com/docs/product-mds/cat10a-j4lf_mds.pdf?sfvrsn=5f8f48f6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CAT10A-LF;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CAT10A&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CAT10A;https://www.bourns.com/docs/product-datasheets/cat10a-lf.pdf?sfvrsn=e18c48f6_5;
CAT10A-113J4LF;CAT10A;Thick Film - AEC-Q200;Fixed Resistors - Chip Arrays;https://www.bourns.com/images/products/resistive-products/cat10_part.jpg?sfvrsn=478e48f6_2;11000.0 Ohms;±5 %;±300 ppm/°C;0.063 W;10000 pcs. per reel;https://www.bourns.com/docs/product-mds/cat10a-j2lf_mds.pdf?sfvrsn=378f48f6_4 https://www.bourns.com/docs/product-mds/cat10a-j4lf_mds.pdf?sfvrsn=5f8f48f6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CAT10A-LF;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CAT10A&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CAT10A;https://www.bourns.com/docs/product-datasheets/cat10a-lf.pdf?sfvrsn=e18c48f6_5;
CAT10A-114J2LF;CAT10A;Thick Film - AEC-Q200;Fixed Resistors - Chip Arrays;https://www.bourns.com/images/products/resistive-products/cat10_part.jpg?sfvrsn=478e48f6_2;110000.0 Ohms;±5 %;±300 ppm/°C;0.063 W;10000 pcs. per reel;https://www.bourns.com/docs/product-mds/cat10a-j2lf_mds.pdf?sfvrsn=378f48f6_4 https://www.bourns.com/docs/product-mds/cat10a-j4lf_mds.pdf?sfvrsn=5f8f48f6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CAT10A-LF;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CAT10A&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CAT10A;https://www.bourns.com/docs/product-datasheets/cat10a-lf.pdf?sfvrsn=e18c48f6_5;
CAT10A-114J4LF;CAT10A;Thick Film - AEC-Q200;Fixed Resistors - Chip Arrays;https://www.bourns.com/images/products/resistive-products/cat10_part.jpg?sfvrsn=478e48f6_2;110000.0 Ohms;±5 %;±300 ppm/°C;0.063 W;10000 pcs. per reel;https://www.bourns.com/docs/product-mds/cat10a-j2lf_mds.pdf?sfvrsn=378f48f6_4 https://www.bourns.com/docs/product-mds/cat10a-j4lf_mds.pdf?sfvrsn=5f8f48f6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CAT10A-LF;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CAT10A&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CAT10A;https://www.bourns.com/docs/product-datasheets/cat10a-lf.pdf?sfvrsn=e18c48f6_5;
CAT10A-120J2LF;CAT10A;Thick Film - AEC-Q200;Fixed Resistors - Chip Arrays;https://www.bourns.com/images/products/resistive-products/cat10_part.jpg?sfvrsn=478e48f6_2;12.0 Ohms;±5 %;±300 ppm/°C;0.063 W;10000 pcs. per reel;https://www.bourns.com/docs/product-mds/cat10a-j2lf_mds.pdf?sfvrsn=378f48f6_4 https://www.bourns.com/docs/product-mds/cat10a-j4lf_mds.pdf?sfvrsn=5f8f48f6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CAT10A-LF;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CAT10A&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CAT10A;https://www.bourns.com/docs/product-datasheets/cat10a-lf.pdf?sfvrsn=e18c48f6_5;
CAT10A-120J4LF;CAT10A;Thick Film - AEC-Q200;Fixed Resistors - Chip Arrays;https://www.bourns.com/images/products/resistive-products/cat10_part.jpg?sfvrsn=478e48f6_2;12.0 Ohms;±5 %;±300 ppm/°C;0.063 W;10000 pcs. per reel;https://www.bourns.com/docs/product-mds/cat10a-j2lf_mds.pdf?sfvrsn=378f48f6_4 https://www.bourns.com/docs/product-mds/cat10a-j4lf_mds.pdf?sfvrsn=5f8f48f6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CAT10A-LF;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CAT10A&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CAT10A;https://www.bourns.com/docs/product-datasheets/cat10a-lf.pdf?sfvrsn=e18c48f6_5;
CAT10A-121J2LF;CAT10A;Thick Film - AEC-Q200;Fixed Resistors - Chip Arrays;https://www.bourns.com/images/products/resistive-products/cat10_part.jpg?sfvrsn=478e48f6_2;120.0 Ohms;±5 %;±300 ppm/°C;0.063 W;10000 pcs. per reel;https://www.bourns.com/docs/product-mds/cat10a-j2lf_mds.pdf?sfvrsn=378f48f6_4 https://www.bourns.com/docs/product-mds/cat10a-j4lf_mds.pdf?sfvrsn=5f8f48f6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CAT10A-LF;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CAT10A&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CAT10A;https://www.bourns.com/docs/product-datasheets/cat10a-lf.pdf?sfvrsn=e18c48f6_5;
CAT10A-121J4LF;CAT10A;Thick Film - AEC-Q200;Fixed Resistors - Chip Arrays;https://www.bourns.com/images/products/resistive-products/cat10_part.jpg?sfvrsn=478e48f6_2;120.0 Ohms;±5 %;±300 ppm/°C;0.063 W;10000 pcs. per reel;https://www.bourns.com/docs/product-mds/cat10a-j2lf_mds.pdf?sfvrsn=378f48f6_4 https://www.bourns.com/docs/product-mds/cat10a-j4lf_mds.pdf?sfvrsn=5f8f48f6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CAT10A-LF;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CAT10A&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CAT10A;https://www.bourns.com/docs/product-datasheets/cat10a-lf.pdf?sfvrsn=e18c48f6_5;
CAT10A-122J2LF;CAT10A;Thick Film - AEC-Q200;Fixed Resistors - Chip Arrays;https://www.bourns.com/images/products/resistive-products/cat10_part.jpg?sfvrsn=478e48f6_2;1200.0 Ohms;±5 %;±300 ppm/°C;0.063 W;10000 pcs. per reel;https://www.bourns.com/docs/product-mds/cat10a-j2lf_mds.pdf?sfvrsn=378f48f6_4 https://www.bourns.com/docs/product-mds/cat10a-j4lf_mds.pdf?sfvrsn=5f8f48f6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CAT10A-LF;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CAT10A&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CAT10A;https://www.bourns.com/docs/product-datasheets/cat10a-lf.pdf?sfvrsn=e18c48f6_5;
CAT10A-122J4LF;CAT10A;Thick Film - AEC-Q200;Fixed Resistors - Chip Arrays;https://www.bourns.com/images/products/resistive-products/cat10_part.jpg?sfvrsn=478e48f6_2;1200.0 Ohms;±5 %;±300 ppm/°C;0.063 W;10000 pcs. per reel;https://www.bourns.com/docs/product-mds/cat10a-j2lf_mds.pdf?sfvrsn=378f48f6_4 https://www.bourns.com/docs/product-mds/cat10a-j4lf_mds.pdf?sfvrsn=5f8f48f6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CAT10A-LF;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CAT10A&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CAT10A;https://www.bourns.com/docs/product-datasheets/cat10a-lf.pdf?sfvrsn=e18c48f6_5;
CAT10A-123J2LF;CAT10A;Thick Film - AEC-Q200;Fixed Resistors - Chip Arrays;https://www.bourns.com/images/products/resistive-products/cat10_part.jpg?sfvrsn=478e48f6_2;12000.0 Ohms;±5 %;±300 ppm/°C;0.063 W;10000 pcs. per reel;https://www.bourns.com/docs/product-mds/cat10a-j2lf_mds.pdf?sfvrsn=378f48f6_4 https://www.bourns.com/docs/product-mds/cat10a-j4lf_mds.pdf?sfvrsn=5f8f48f6_4 ;https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CAT10A-LF;https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CAT10A&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0;https://www.bourns.com/inventory-search-results?PARTS=CAT10A;https://www.bourns.com/docs/product-datasheets/cat10a-lf.pdf?sfvrsn=e18c48f6_5;
