Model,Category,Part Number
Metal Strip - AEC-Q200,Fixed Resistors - Shunt,CSM2F-8518-L100J32
Metal Strip - AEC-Q200,Fixed Resistors - Shunt,CSM2F-8518-L100JT0
Metal Strip - AEC-Q200,Fixed Resistors - Shunt,CSM2F-8518-L100JT2
Metal Strip - AEC-Q200,Fixed Resistors - Shunt,CSM2F-8518-L200J00
Metal Strip - AEC-Q200,Fixed Resistors - Shunt,CSM2F-8518-L200J02
Metal Strip - AEC-Q200,Fixed Resistors - Shunt,CSM2F-8518-L200J20
Metal Strip - AEC-Q200,Fixed Resistors - Shunt,CSM2F-8518-L200J22
Metal Strip - AEC-Q200,Fixed Resistors - Shunt,CSM2F-8518-L200J30
Metal Strip - AEC-Q200,Fixed Resistors - Shunt,CSM2F-8518-L200J32
Metal Strip - AEC-Q200,Fixed Resistors - Shunt,CSM2F-8518-L200JT0
Metal Strip - AEC-Q200,Fixed Resistors - Shunt,CSM2F-8518-L200JT2
Metal Strip - AEC-Q200,Fixed Resistors - Shunt,CSM2F-8536-L025J00
Metal Strip - AEC-Q200,Fixed Resistors - Shunt,CSM2F-8536-L025J01
Metal Strip - AEC-Q200,Fixed Resistors - Shunt,CSM2F-8536-L025J02
Metal Strip - AEC-Q200,Fixed Resistors - Shunt,CSM2F-8536-L025J20
Metal Strip - AEC-Q200,Fixed Resistors - Shunt,CSM2F-8536-L025J21
Metal Strip - AEC-Q200,Fixed Resistors - Shunt,CSM2F-8536-L025J22
Metal Strip - AEC-Q200,Fixed Resistors - Shunt,CSM2F-8536-L025J30
Metal Strip - AEC-Q200,Fixed Resistors - Shunt,CSM2F-8536-L025J31
Metal Strip - AEC-Q200,Fixed Resistors - Shunt,CSM2F-8536-L025J32
Metal Strip - AEC-Q200,Fixed Resistors - Shunt,CSM2F-8536-L025JT0
Metal Strip - AEC-Q200,Fixed Resistors - Shunt,CSM2F-8536-L025JT1
Metal Strip - AEC-Q200,Fixed Resistors - Shunt,CSM2F-8536-L025JT2
Metal Strip - AEC-Q200,Fixed Resistors - Shunt,CSM2F-8536-L050J00
Metal Strip - AEC-Q200,Fixed Resistors - Shunt,CSM2F-8536-L050J01
Metal Strip - AEC-Q200,Fixed Resistors - Shunt,CSM2F-8536-L050J02
Metal Strip - AEC-Q200,Fixed Resistors - Shunt,CSM2F-8536-L050J20
Metal Strip - AEC-Q200,Fixed Resistors - Shunt,CSM2F-8536-L050J21
Metal Strip - AEC-Q200,Fixed Resistors - Shunt,CSM2F-8536-L050J22
Metal Strip - AEC-Q200,Fixed Resistors - Shunt,CSM2F-8536-L050J30
Metal Strip - AEC-Q200,Fixed Resistors - Shunt,CSM2F-8536-L050J31
Metal Strip - AEC-Q200,Fixed Resistors - Shunt,CSM2F-8536-L050J32
Metal Strip - AEC-Q200,Fixed Resistors - Shunt,CSM2F-8536-L050JT0
Metal Strip - AEC-Q200,Fixed Resistors - Shunt,CSM2F-8536-L050JT1
Metal Strip - AEC-Q200,Fixed Resistors - Shunt,CSM2F-8536-L050JT2
Metal Strip - AEC-Q200,Fixed Resistors - Shunt,CSM2F-8536-L100J00
Metal Strip - AEC-Q200,Fixed Resistors - Shunt,CSM2F-8536-L100J02
Metal Strip - AEC-Q200,Fixed Resistors - Shunt,CSM2F-8536-L100J20
Metal Strip - AEC-Q200,Fixed Resistors - Shunt,CSM2F-8536-L100J22
Metal Strip - AEC-Q200,Fixed Resistors - Shunt,CSM2F-8536-L100J30
Metal Strip - AEC-Q200,Fixed Resistors - Shunt,CSM2F-8536-L100J32
Metal Strip - AEC-Q200,Fixed Resistors - Shunt,CSM2F-8536-L100JT0
Metal Strip - AEC-Q200,Fixed Resistors - Shunt,CSM2F-8536-L100JT2
